Title,Details,Image URL,Product URL,Description,Price
Nike Club,Men's Coaches' Jacket,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/dc4b3b2f-8bc4-4232-b8c4-22f8d296ef7f/club-mens-coaches-jacket-kXpvvK.png",https://www.nike.comhttps://www.nike.com/t/club-mens-coaches-jacket-kXpvvK/FN3316-739,"Keep your look clean and classic in this coach's jacket from our Nike Club collection. Roomy through the body and sleeves, the relaxed fit is paired with smooth woven fabric and soft cotton lining to bring casual comfort to any outfit. Pair it up with some retro Nike sneakers for a stylish look that works just about anywhere.Shown: University Gold/WhiteStyle: FN3316-739",$90
Nike Club,Men's Corduroy Chino Pants,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7127d220-f1c2-4989-9392-04a80894438c/club-mens-corduroy-chino-pants-LPVZPJ.png",https://www.nike.comhttps://www.nike.com/t/club-mens-corduroy-chino-pants-LPVZPJ/FZ0786-010,"Clean and classic, these chinos are made from corduroy for a soft, slightly textured feel. They feel relaxed through the seat and thighs with a straight-leg cut that provides casual style and laid-back comfort.Shown: BlackStyle: FZ0786-010",$95
Nike Sportswear Premium Essentials,Men's T-Shirt,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/891752c6-a92e-469c-ab57-d762c685fb77/sportswear-premium-essentials-mens-t-shirt-mkhTvc.png",https://www.nike.comhttps://www.nike.com/t/sportswear-premium-essentials-mens-t-shirt-mkhTvc/DO7392-101,"The Nike Sportswear Premium Essentials T-Shirt has a loose fit for a carefree, comfortable look. Its heavyweight organic cotton fabric feels thick and soft. This product is made with at least 75% organic cotton fibers.Shown: White/WhiteStyle: DO7392-101",$45
Nike Club,Men's Woven Flow Shorts,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/49e61b95-54ee-4f59-951a-4e64cb7f43d6/club-mens-woven-flow-shorts-vw2WpQ.png",https://www.nike.comhttps://www.nike.com/t/club-mens-woven-flow-shorts-vw2WpQ/FN3307-652,"Sporty and versatile, these woven shorts are made for easygoing daily comfort. The fit is designed to hit above-the-knee and feel relaxed through the seat and thighs to keep them from feeling restrictive, especially in warmer weather. Mesh lining helps you stay cool and comfy around town. Pair them up with a tee and your favorite Nike sneakers for a look that gets you out there looking and feeling great.Shown: Burgundy Crush/WhiteStyle: FN3307-652",$50
Nike Primary,Men's Dri-FIT UV Versatile Crew,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/38f6a90a-3d31-4ee2-b028-7d5b4531d4c4/primary-mens-dri-fit-uv-versatile-crew-9cQgFg.png",https://www.nike.comhttps://www.nike.com/t/primary-mens-dri-fit-uv-versatile-crew-9cQgFg/FZ0971-473,"This soft, sweat-wicking crew is built for wearing during your toughest workouts. It's made with midweight double-knit fabric that feels smooth on both sides with a touch of stretch. Plus, the fabric helps block UV rays when you're outdoors.Shown: Obsidian/Heather/ObsidianStyle: FZ0971-473",$75
Nike Primary,"Men's 7"" Dri-FIT UV Unlined Versatile Shorts","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/fcda0679-1261-425d-98f0-71063b551141/primary-mens-7-dri-fit-uv-unlined-versatile-shorts-Jhbv51.png",https://www.nike.comhttps://www.nike.com/t/primary-mens-7-dri-fit-uv-unlined-versatile-shorts-Jhbv51/FZ0961-451,"Designed for running, training and yoga, these sweat-wicking Primary shorts offer midweight knit fabric that's made for movement. They have a relaxed fit that sits above the knee and flat seams that help prevent chafing.Shown: Obsidian/Heather/ObsidianStyle: FZ0961-451",$70
Nike Run Energy,Men's Dri-FIT Fleece Running Crew,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/3936ec19-25a9-4cae-91bc-ff24063b99a2/run-energy-mens-dri-fit-fleece-running-crew-M6VJGL.png",https://www.nike.comhttps://www.nike.com/t/run-energy-mens-dri-fit-fleece-running-crew-M6VJGL/HF0333-121,"Made with smooth knit fabric and a relaxed fit, this midweight crew-neck sweatshirt is designed to help keep you comfortable throughout your run.Shown: Summit White/Light Photo BlueStyle: HF0333-121",$80
Nike Stride,"Men's Dri-FIT 5"" Brief-Lined Running Shorts","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b50fb8c7-ade6-4bc2-82ca-0187d17424af/stride-mens-dri-fit-5-brief-lined-running-shorts-g9m76X.png",https://www.nike.comhttps://www.nike.com/t/stride-mens-dri-fit-5-brief-lined-running-shorts-g9m76X/DM4755-464,"Designed for running, the Stride Shorts have a lightweight feel made for unrestricted movement. They're smooth to the touch, with extra breathability at the upper back. Need to take a phone along? We've got a pocket at the back geared just for your device.Shown: Denim Turquoise/BlackStyle: DM4755-464",$55
USA Solo Swoosh,Men's Nike Pullover Hoodie,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/92161a12-6428-499e-8c20-e172ded68e6a/usa-solo-swoosh-mens-pullover-hoodie-r4M7xD.png",https://www.nike.comhttps://www.nike.com/t/usa-solo-swoosh-mens-pullover-hoodie-r4M7xD/FN4416-100,"Rep your country in easy comfort and laid-back, nostalgic style with this relaxed USA sweatshirt. Smooth on the outside and plush on the inside, our heavyweight brushed fleece helps keep you supremely cozy with thick, structured fabric for a premium look.Shown: White/Old RoyalStyle: FN4416-100",$100
USA Premium Essential,Women's Nike T-Shirt,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d195d34d-ecd3-4c56-a684-7808e0159cb1/usa-premium-essential-womens-t-shirt-ZSQ6v8.png",https://www.nike.comhttps://www.nike.com/t/usa-premium-essential-womens-t-shirt-ZSQ6v8/FN0866-133,Show your support in this USA tee. Heavyweight cotton and a loose fit help you rep the USA no matter where you cheer from.Shown: SailStyle: FN0866-133,$35
